ID_Cliente,Nombre,Ciudad
1, Juan Pérez ,Bogotá
2,María Gómez,Medellín
3,,Cali
4,LUIS FERNANDO, Barranquilla
5,Ana$ Torres,Cartagena
6,Pedro López ,Bogotá
7,Laura Martínez,Medellín
8,José Rodríguez,Cali
9, ,Barranquilla
10,Andrés# Ramírez,Cartagena
11,Paula Jiménez,Bogotá
12,camila suarez,medellín
13,Diego Castro,Cali
14,Valentina, Barranquilla
15,Oscar$ Morales,Cartagena
16, ,Bogotá
17,Esteban,Medellín
18,Carolina,Cali
19,Juliana,Barranquilla
20,David,Cartagena
21,Manuel,Bogotá
22,Isabella,Medellín
23,Santiago,Cali
24,Martina,Barranquilla
25,Emilio,Cartagena
26,Lucía,Bogotá
27,Samuel,Medellín
28,Matías,Cali
29,Antonia,Barranquilla
30,Agustín,Cartagena
31,Renata,Bogotá
32,Facundo,Medellín
33,Victoria,Cali
34,Francisco,Barranquilla
35,Emilia,Cartagena
36,Valentín,Bogotá
37,Josefa,Medellín
38,Tomás,Cali
39,Juana,Barranquilla
40,Pedro,Cartagena
41,Martín,Bogotá
42,Mía,Medellín
43,Juan,Cali
44,Clara,Barranquilla
45,Lucas,Cartagena
46, ,Bogotá
47,Marina,Medellín
48,Bruno,Cali
49,Elena,Barranquilla
50,Simón,Cartagena
51,,Bogotá
52,Alma,Medellín
53,Enzo,Cali
54,Salma,Barranquilla
55,Thiago,Cartagena
56, ,Bogotá
57,Milagros,Medellín
58,Axel,Cali
59,Josefina,Barranquilla
60, ,Cartagena
61, ,Bogotá
62, ,Medellín
63, ,Cali
64, ,Barranquilla
65, ,Cartagena
66, ,Bogotá
67, ,Medellín
68, ,Cali
69, ,Barranquilla
70, ,Cartagena
71, ,Bogotá
72, ,Medellín
73, ,Cali
74, ,Barranquilla
75, ,Cartagena
76, ,Bogotá
77, ,Medellín
78, ,Cali
79, ,Barranquilla
80, ,Cartagena
81, ,Bogotá
82, ,Medellín
83, ,Cali
84, ,Barranquilla
85, ,Cartagena
86, ,Bogotá
87, ,Medellín
88, ,Cali
89, ,Barranquilla
90, ,Cartagena
91, ,Bogotá
92, ,Medellín
93, ,Cali
94, ,Barranquilla
95, ,Cartagena
96, ,Bogotá
97, ,Medellín
98, ,Cali
99, ,Barranquilla
100, ,Cartagena
